[55]    validation_0-logloss:0.63577    validation_0-auc:0.71412        validation_1-logloss:0.63622    validation_1-auc:0.70226
[56]    validation_0-logloss:0.63525    validation_0-auc:0.71489        validation_1-logloss:0.63571    validation_1-auc:0.70288
[57]    validation_0-logloss:0.63499    validation_0-auc:0.71513        validation_1-logloss:0.63546    validation_1-auc:0.70298
[58]    validation_0-logloss:0.63471    validation_0-auc:0.71547        validation_1-logloss:0.63518    validation_1-auc:0.70310
[59]    validation_0-logloss:0.63436    validation_0-auc:0.71603        validation_1-logloss:0.63483    validation_1-auc:0.70354
[60]    validation_0-logloss:0.63409    validation_0-auc:0.71633        validation_1-logloss:0.63457    validation_1-auc:0.70358
[61]    validation_0-logloss:0.63377    validation_0-auc:0.71676        validation_1-logloss:0.63424    validation_1-auc:0.70382
[62]    validation_0-logloss:0.63337    validation_0-auc:0.71740        validation_1-logloss:0.63384    validation_1-auc:0.70424
[63]    validation_0-logloss:0.63309    validation_0-auc:0.71776        validation_1-logloss:0.63356    validation_1-auc:0.70441
[64]    validation_0-logloss:0.63276    validation_0-auc:0.71817        validation_1-logloss:0.63324    validation_1-auc:0.70479
[65]    validation_0-logloss:0.63251    validation_0-auc:0.71847        validation_1-logloss:0.63298    validation_1-auc:0.70479
[66]    validation_0-logloss:0.63198    validation_0-auc:0.71918        validation_1-logloss:0.63246    validation_1-auc:0.70540
[67]    validation_0-logloss:0.63174    validation_0-auc:0.71952        validation_1-logloss:0.63222    validation_1-auc:0.70557
[68]    validation_0-logloss:0.63104    validation_0-auc:0.72053        validation_1-logloss:0.63153    validation_1-auc:0.70640
[69]    validation_0-logloss:0.63087    validation_0-auc:0.72071        validation_1-logloss:0.63137    validation_1-auc:0.70640
[70]    validation_0-logloss:0.63062    validation_0-auc:0.72102        validation_1-logloss:0.63113    validation_1-auc:0.70646
[71]    validation_0-logloss:0.62984    validation_0-auc:0.72228        validation_1-logloss:0.63036    validation_1-auc:0.70760
[72]    validation_0-logloss:0.62965    validation_0-auc:0.72250        validation_1-logloss:0.63018    validation_1-auc:0.70767
[73]    validation_0-logloss:0.62904    validation_0-auc:0.72343        validation_1-logloss:0.62960    validation_1-auc:0.70855
[74]    validation_0-logloss:0.62845    validation_0-auc:0.72424        validation_1-logloss:0.62901    validation_1-auc:0.70923
[75]    validation_0-logloss:0.62816    validation_0-auc:0.72467        validation_1-logloss:0.62871    validation_1-auc:0.70947
[76]    validation_0-logloss:0.62769    validation_0-auc:0.72527        validation_1-logloss:0.62825    validation_1-auc:0.70996
[77]    validation_0-logloss:0.62744    validation_0-auc:0.72565        validation_1-logloss:0.62801    validation_1-auc:0.71009
[78]    validation_0-logloss:0.62716    validation_0-auc:0.72596        validation_1-logloss:0.62773    validation_1-auc:0.71031
[79]    validation_0-logloss:0.62695    validation_0-auc:0.72615        validation_1-logloss:0.62753    validation_1-auc:0.71032
[80]    validation_0-logloss:0.62678    validation_0-auc:0.72636        validation_1-logloss:0.62736    validation_1-auc:0.71032
[81]    validation_0-logloss:0.62657    validation_0-auc:0.72668        validation_1-logloss:0.62716    validation_1-auc:0.71043
[82]    validation_0-logloss:0.62630    validation_0-auc:0.72711        validation_1-logloss:0.62690    validation_1-auc:0.71072
[83]    validation_0-logloss:0.62601    validation_0-auc:0.72752        validation_1-logloss:0.62661    validation_1-auc:0.71099
[84]    validation_0-logloss:0.62583    validation_0-auc:0.72777        validation_1-logloss:0.62643    validation_1-auc:0.71107
[85]    validation_0-logloss:0.62567    validation_0-auc:0.72788        validation_1-logloss:0.62628    validation_1-auc:0.71106
[86]    validation_0-logloss:0.62553    validation_0-auc:0.72804        validation_1-logloss:0.62614    validation_1-auc:0.71111
[87]    validation_0-logloss:0.62515    validation_0-auc:0.72854        validation_1-logloss:0.62576    validation_1-auc:0.71147
[88]    validation_0-logloss:0.62488    validation_0-auc:0.72888        validation_1-logloss:0.62549    validation_1-auc:0.71159
[89]    validation_0-logloss:0.62453    validation_0-auc:0.72933        validation_1-logloss:0.62515    validation_1-auc:0.71191
[90]    validation_0-logloss:0.62428    validation_0-auc:0.72971        validation_1-logloss:0.62491    validation_1-auc:0.71213
[91]    validation_0-logloss:0.62404    validation_0-auc:0.72997        validation_1-logloss:0.62467    validation_1-auc:0.71228
[92]    validation_0-logloss:0.62369    validation_0-auc:0.73046        validation_1-logloss:0.62433    validation_1-auc:0.71262
[93]    validation_0-logloss:0.62356    validation_0-auc:0.73059        validation_1-logloss:0.62420    validation_1-auc:0.71267
[94]    validation_0-logloss:0.62338    validation_0-auc:0.73078        validation_1-logloss:0.62403    validation_1-auc:0.71267
[95]    validation_0-logloss:0.62299    validation_0-auc:0.73135        validation_1-logloss:0.62365    validation_1-auc:0.71304
[96]    validation_0-logloss:0.62267    validation_0-auc:0.73186        validation_1-logloss:0.62334    validation_1-auc:0.71338
[97]    validation_0-logloss:0.62245    validation_0-auc:0.73215        validation_1-logloss:0.62313    validation_1-auc:0.71355
[98]    validation_0-logloss:0.62227    validation_0-auc:0.73243        validation_1-logloss:0.62296    validation_1-auc:0.71365
[99]    validation_0-logloss:0.62212    validation_0-auc:0.73268        validation_1-logloss:0.62281    validation_1-auc:0.71376
[100]   validation_0-logloss:0.62187    validation_0-auc:0.73301        validation_1-logloss:0.62256    validation_1-auc:0.71384
[101]   validation_0-logloss:0.62171    validation_0-auc:0.73316        validation_1-logloss:0.62241    validation_1-auc:0.71386
[102]   validation_0-logloss:0.62147    validation_0-auc:0.73352        validation_1-logloss:0.62217    validation_1-auc:0.71408
[103]   validation_0-logloss:0.62126    validation_0-auc:0.73381        validation_1-logloss:0.62196    validation_1-auc:0.71418
[104]   validation_0-logloss:0.62115    validation_0-auc:0.73398        validation_1-logloss:0.62186    validation_1-auc:0.71422
[105]   validation_0-logloss:0.62086    validation_0-auc:0.73436        validation_1-logloss:0.62157    validation_1-auc:0.71440
[106]   validation_0-logloss:0.62067    validation_0-auc:0.73458        validation_1-logloss:0.62139    validation_1-auc:0.71446
[107]   validation_0-logloss:0.62039    validation_0-auc:0.73499        validation_1-logloss:0.62111    validation_1-auc:0.71475
[108]   validation_0-logloss:0.62021    validation_0-auc:0.73527        validation_1-logloss:0.62094    validation_1-auc:0.71492
[109]   validation_0-logloss:0.62001    validation_0-auc:0.73553        validation_1-logloss:0.62075    validation_1-auc:0.71506
[110]   validation_0-logloss:0.61990    validation_0-auc:0.73567        validation_1-logloss:0.62064    validation_1-auc:0.71512
[111]   validation_0-logloss:0.61972    validation_0-auc:0.73589        validation_1-logloss:0.62046    validation_1-auc:0.71513
[112]   validation_0-logloss:0.61955    validation_0-auc:0.73613        validation_1-logloss:0.62031    validation_1-auc:0.71523
[113]   validation_0-logloss:0.61929    validation_0-auc:0.73646        validation_1-logloss:0.62006    validation_1-auc:0.71542
[114]   validation_0-logloss:0.61911    validation_0-auc:0.73670        validation_1-logloss:0.61988    validation_1-auc:0.71546
[115]   validation_0-logloss:0.61893    validation_0-auc:0.73692        validation_1-logloss:0.61972    validation_1-auc:0.71545
[116]   validation_0-logloss:0.61863    validation_0-auc:0.73729        validation_1-logloss:0.61943    validation_1-auc:0.71568
[117]   validation_0-logloss:0.61850    validation_0-auc:0.73749        validation_1-logloss:0.61930    validation_1-auc:0.71572
[118]   validation_0-logloss:0.61840    validation_0-auc:0.73757        validation_1-logloss:0.61921    validation_1-auc:0.71571
[119]   validation_0-logloss:0.61814    validation_0-auc:0.73799        validation_1-logloss:0.61896    validation_1-auc:0.71599
[120]   validation_0-logloss:0.61783    validation_0-auc:0.73836        validation_1-logloss:0.61866    validation_1-auc:0.71626
[121]   validation_0-logloss:0.61746    validation_0-auc:0.73885        validation_1-logloss:0.61830    validation_1-auc:0.71655
[122]   validation_0-logloss:0.61736    validation_0-auc:0.73896        validation_1-logloss:0.61821    validation_1-auc:0.71659
[123]   validation_0-logloss:0.61722    validation_0-auc:0.73917        validation_1-logloss:0.61806    validation_1-auc:0.71670
[124]   validation_0-logloss:0.61693    validation_0-auc:0.73959        validation_1-logloss:0.61779    validation_1-auc:0.71692
[125]   validation_0-logloss:0.61678    validation_0-auc:0.73978        validation_1-logloss:0.61764    validation_1-auc:0.71696
[126]   validation_0-logloss:0.61663    validation_0-auc:0.73999        validation_1-logloss:0.61750    validation_1-auc:0.71700
[127]   validation_0-logloss:0.61633    validation_0-auc:0.74047        validation_1-logloss:0.61720    validation_1-auc:0.71732
[128]   validation_0-logloss:0.61617    validation_0-auc:0.74069        validation_1-logloss:0.61704    validation_1-auc:0.71740
[129]   validation_0-logloss:0.61603    validation_0-auc:0.74087        validation_1-logloss:0.61691    validation_1-auc:0.71745
[130]   validation_0-logloss:0.61557    validation_0-auc:0.74154        validation_1-logloss:0.61646    validation_1-auc:0.71803
[131]   validation_0-logloss:0.61547    validation_0-auc:0.74167        validation_1-logloss:0.61637    validation_1-auc:0.71804
[132]   validation_0-logloss:0.61532    validation_0-auc:0.74190        validation_1-logloss:0.61623    validation_1-auc:0.71811
[133]   validation_0-logloss:0.61520    validation_0-auc:0.74203        validation_1-logloss:0.61611    validation_1-auc:0.71810
[134]   validation_0-logloss:0.61494    validation_0-auc:0.74243        validation_1-logloss:0.61585    validation_1-auc:0.71834
[135]   validation_0-logloss:0.61477    validation_0-auc:0.74268        validation_1-logloss:0.61568    validation_1-auc:0.71840
[136]   validation_0-logloss:0.61462    validation_0-auc:0.74283        validation_1-logloss:0.61554    validation_1-auc:0.71845
[137]   validation_0-logloss:0.61445    validation_0-auc:0.74309        validation_1-logloss:0.61537    validation_1-auc:0.71854
[138]   validation_0-logloss:0.61409    validation_0-auc:0.74354        validation_1-logloss:0.61503    validation_1-auc:0.71888
[139]   validation_0-logloss:0.61394    validation_0-auc:0.74372        validation_1-logloss:0.61489    validation_1-auc:0.71886
[140]   validation_0-logloss:0.61379    validation_0-auc:0.74392        validation_1-logloss:0.61474    validation_1-auc:0.71890
[141]   validation_0-logloss:0.61356    validation_0-auc:0.74427        validation_1-logloss:0.61452    validation_1-auc:0.71908
[142]   validation_0-logloss:0.61339    validation_0-auc:0.74452        validation_1-logloss:0.61436    validation_1-auc:0.71922
[143]   validation_0-logloss:0.61329    validation_0-auc:0.74465        validation_1-logloss:0.61426    validation_1-auc:0.71919
[144]   validation_0-logloss:0.61303    validation_0-auc:0.74502        validation_1-logloss:0.61401    validation_1-auc:0.71936
[145]   validation_0-logloss:0.61291    validation_0-auc:0.74519        validation_1-logloss:0.61389    validation_1-auc:0.71940
[146]   validation_0-logloss:0.61274    validation_0-auc:0.74544        validation_1-logloss:0.61373    validation_1-auc:0.71938
[147]   validation_0-logloss:0.61249    validation_0-auc:0.74574        validation_1-logloss:0.61349    validation_1-auc:0.71965
[148]   validation_0-logloss:0.61239    validation_0-auc:0.74589        validation_1-logloss:0.61340    validation_1-auc:0.71966
[149]   validation_0-logloss:0.61225    validation_0-auc:0.74609        validation_1-logloss:0.61326    validation_1-auc:0.71981
[150]   validation_0-logloss:0.61204    validation_0-auc:0.74638        validation_1-logloss:0.61305    validation_1-auc:0.71996
